formula,scale,threshold,mae,mae_std,coverage,coverage_std,within_5,within_5_std,n_accepted,n_simulations
linear,3.5,0.7,3.0666666666666664,1.1015141094572205,0.08518518518518518,0.02312962221629036,0.8523809523809524,0.1500566786341784,8,90
linear,4.0,0.45,7.648001809280545,2.112917533459995,0.32592592592592595,0.027962349760262045,0.7278762239250746,0.011462080739704492,29,90
linear,4.0,0.5,6.9994444444444435,0.9708420362032433,0.2740740740740741,0.006415002990995851,0.7294444444444445,0.02709721866279377,25,90
linear,4.0,0.55,7.1350774829035695,0.7480222773691315,0.24444444444444444,0.0111111111111111,0.7434908087082001,0.06396437666780105,22,90
linear,4.0,0.6,4.211029411764706,1.3344822535156087,0.1962962962962963,0.023129622216290356,0.7995098039215686,0.08993862446526286,18,90
linear,4.0,0.65,4.623321123321123,2.1024191834440806,0.14444444444444443,0.011111111111111113,0.7484737484737485,0.09691973595512444,13,90
linear,4.0,0.7,3.022727272727273,0.6888838439194399,0.09999999999999999,0.01924500897298752,0.8257575757575758,0.08529038067574016,9,90
linear,4.5,0.45,7.463201104330136,1.9733202297146413,0.3703703703703704,0.03571722504071464,0.7117843650101715,0.037206930961350894,33,90
linear,4.5,0.5,7.719111242099747,2.2653092995665216,0.30370370370370364,0.016972502573910545,0.7318826341814847,0.008357216815684953,27,90
linear,4.5,0.55,7.231280193236715,0.9290075748959747,0.25925925925925924,0.006415002990995851,0.7288647342995169,0.04697353496882708,23,90
linear,4.5,0.6,4.790255496137849,1.8159718257094897,0.22222222222222224,0.02939723678960656,0.7912316441728207,0.10151108270845424,20,90
linear,4.5,0.65,4.1440170940170935,1.5687385756796237,0.16296296296296298,0.016972502573910527,0.7751068376068376,0.09540753820001233,15,90
linear,4.5,0.7,3.21439393939394,0.596721125760078,0.1074074074074074,0.016972502573910513,0.8007575757575758,0.0738665500590819,10,90
linear,5.0,0.45,7.2934343434343445,1.7036826660410438,0.38888888888888884,0.04843221048378525,0.7174242424242424,0.03845769741362742,35,90
linear,5.0,0.5,7.539207559681697,2.0674777270358877,0.32222222222222224,0.033333333333333354,0.7141357206012379,0.023304285936355595,29,90
linear,5.0,0.55,7.12611111111111,1.0902679758936602,0.27037037037037037,0.006415002990995851,0.726111111111111,0.021495046802392326,24,90
linear,5.0,0.6,5.082972582972583,1.4441566443812426,0.24074074074074073,0.006415002990995835,0.7546897546897547,0.06573580363574665,22,90
linear,5.0,0.65,3.8976034858387805,1.4930397036374352,0.1814814814814815,0.023129622216290367,0.800964830376595,0.0702336435176356,16,90
linear,5.0,0.7,3.3042328042328037,0.9385347093681033,0.1259259259259259,0.027962349760262035,0.7833092833092833,0.12666876205357225,11,90
linear,6.0,0.45,7.845806240543081,0.6529744303401102,0.4481481481481482,0.03571722504071464,0.6960802355539197,0.03901264139304555,40,90
linear,6.0,0.5,7.142090620031797,1.6401040369381947,0.3814814814814815,0.02796234976026202,0.7293322734499205,0.02420570743813212,34,90
linear,6.0,0.55,7.739140355380623,1.8427721552586274,0.31851851851851853,0.02796234976026205,0.6979549927269616,0.02386577763156219,29,90
linear,6.0,0.6,7.144927536231883,1.071485611998209,0.2629629629629629,0.006415002990995851,0.7330917874396136,0.042882900428939594,24,90
